"rep","time","fish","human","human_binom"
"Hanauma Bay-Backdoor-B-2020_12_16",792,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",793,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",794,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",795,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",796,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",797,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",798,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",799,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",800,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",801,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",802,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",803,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",804,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",805,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",806,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",807,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",808,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",809,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",810,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",811,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",812,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",813,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",814,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",815,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",816,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",817,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",818,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",819,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",820,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",821,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",822,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",823,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",824,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",825,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",826,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",827,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",828,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",829,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",830,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",831,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",832,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",833,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",834,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",835,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",836,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",837,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",838,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",839,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",840,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",841,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",842,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",843,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",844,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",845,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",846,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",847,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",848,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",849,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",850,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",851,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",852,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",853,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",854,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",855,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",856,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",857,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",858,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",859,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",860,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",861,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",862,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",863,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",864,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",865,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",866,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",867,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",868,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",869,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",870,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",871,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",872,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",873,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",874,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",875,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",876,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",877,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",878,0,0,FALSE
